article_id,rubric_id,article_title,article_annot
1,1,"Концепция воспитательной работы, интегрированной в учебный процесс, для образовательных программ по техническим направлениям подготовки","Для образовательных программ высшего профессионального образования в области технических направлений подготовки обосновывается необходимость интегрирования мероприятий воспитательной направленности непосредственно в учебный процесс. Приведены основные общие, организационные и методические принципы концепции воспитательной работы. Рассмотрены особенности воспитательной работы по направлению Энергетическое машиностроение."
2,2,Методика исследования процесса сгорания в дизеле по индикаторным диаграммам,Представлена методика анализа индикаторной диаграммы с целью исследования характера выделения теплоты при сгорании топлива в дизеле. Рассмотрены способы исключения некоторых погрешностей при задании исходных данных анализа. Методика реализована в виде программы расчета.
3,2,Некоторые аспекты совершенствования систем хранения топлива и окислителя для энергоустановок с электрохимическими генераторами,""
4,2,Влияние длины и коэффициента скорости камеры смещения на коэффициент инжекции для струйных аппаратов без диффузора,Приведены результаты теоретического и экспериментального исследований влияния длины камеры смешения струйного аппарата на коэффициент инжекции. В качестве рабочего и инжектируемого газов использовался воздух. Экспериментально доказано существование максимума функции коэффициента инжекции от длины камеры смешения. Разработано уравнение описывающее зависимость коэффициента скорости от коэффициента инжекции.
5,2,Об интенсификации теплого потока в систему охлаждения от деталей цилиндро-поршневой группы двигателя Стирлинга вследствие шатл-эффекта,"Изложены основные аспекты математической модели, предназначенной для вычисления шатл-эффекта в ЦПГ двигателя Стирлинга. Модель основана на представлении явления в качестве квазистационарного радиального переноса тепла посредством конвекции и лучеиспускания. Алгоритм применен для определения величины шатл-эффекта и насосных потерь двигателя 1Р30/6."
6,2,Одномерная диффузионная модель продувки четырехтактного двигателя внутреннего сгорания,Приведены основные положения математической модели продувки четырехтактного двигателя внутреннего сгорания. Модель основывается на классических соотношениях для расхода рабочего тела через впускные и выпускные клапаны и диффузионном уравнении распределения компонентов рабочего тела в объеме цилиндра. Приведен расчетный алгоритм для пошагового моделирования процесса.
7,2,Перспективы развития ЭУ с конверсией дизельного топлива для глубоководных аппаратов,""
8,2,Водотопливные эмульсии в качестве основного вида топлива для корабельных энергетических установок,"В статье рассматривается актуальность применения водотопливных эмульсий в корабельных энергетических установках в качестве основного вида топлива, что приведет к улучшению сгорания топлива и снижению вредных выбросов."
9,3,Решение задач роторной динамики в ANSYS,В статье получено аналитическое и численное решения задачи роторной динамики невесомого вала с тяжелым диском при учете гироскопического эффекта. Численное решение выполнено с использованием ANSYS. Сопоставление результатов показывает высокую эффективность осесимметричных конечных элементов. Приводятся результаты расчетов в ANSYS критических скоростей входной линии спроектированного в НПО Сатурн судового газотурбогенератора.
10,4,"Анализ систем управления асинхронного гребного электропривода по признакам, определяющим его высокие динамические характеристики","Целью настоящей статьи является обоснование выбора решений, базирующихся на современных принципах построения и классификации систем управления регулируемого электропривода, используемых при формировании облика системы частотного управления гребным электродвигателем с высокими динамическими показателями. Практическая реализация рекомендуемых вариантов исполнения системы управления электропривода по рассмотренным в статье признакам позволит формировать и осуществлять совокупность управляющих воздействий на двигатель, обеспечивающих не только требуемые статические и динамические характеристики, но и заданный характер переходных процессов при изменении скорости, момента или других координат электропривода."
11,5,"Балтийское море - NECA. Неоправданные затраты, технологические и эксплуатационные риски","В штаб-квартире Международной морской организации (ИМО в Лондоне в период с 13 по 17 мая 2013 года состоялось заседание 65-ой сессии Комитета по защите морской среды (КЗМС. Один из основных вопросов повестки дня сессии был посвящен анализу готовности к промышленному освоению технологий для снижения выбросов NOx судовыми дизелями на 80%. В ходе состоявшейся дискуссии о готовности технологий для введения в Балтийском море зоны контроля выбросов NOx (NECA и стандарта по ограничению выбросов NOx для судовых дизелей на уровне IMO Tier-III с 01.01.2016 года, Российская делегация смогла добиться решения о переносе этой даты сроком на пять лет, до 01.01.2021 года. Решение было принято большинством участников сессии КЗМС на основании выполненного Российскими экспертами анализа состояния разработок технологий по сокращению выбросов NOx в судовом двигателестроении, убедительно показавшем технологическую неготовность промышленности к выпуску и инфраструктурную неготовность портов к эксплуатации судовых двигателей, соответствующих заявленным нормативам."
12,5,Электромагнитная безопасность в подпалубных помещениях судов рыбопромыслового флота,"Научно-технический прогресс вызвал ряд проблем, связанных с электромагнитной совместимостью технической и биологической сред. В результате возникла проблема электромагнитной безопасности, которая оказалась весьма важной для морских судов рыбопромыслового флота в силу их специфических особенностей."
13,6,Оценка величины коэффициента теплоотдачи в зазоре между поршнем-вытеснителем и цилиндровой втулкой двигателя Стирлинга вытеснительного типа,Предложена методика оценки величины коэффициента теплоотдачи рабочего тела в зазоре между поршнем-вытеснителем и цилиндровой втулкой для двигателей Стирлинга вытеснительного типа различной конструкции.
14,6,Оценка погрешности численного метода газодинамики при расчете профильных потерь в турбинных решетках,Проведен анализ расчетов численного моделирования вязкого потока в плоских решетках профилей различного типа. Получены величины отклонений расчетных профильных потерь от эксперимента.
15,6,Охлаждение межкассетного пространства активной зоны ядерного моноблочного паропроизводящего аппарата типа,Для охлаждения межкассетного пространства кипящей активной зоны предложено использование водо-водяного инжектора и перфорированного щита.
16,7,Создание информационных технологий для систем поддержки принятия решений при борьбе за живучесть корабля,""
17,8,Нормативное обеспечение электромагнитной совместимости,Представлен анализ задач и требований по электромагнитной совместимости (ЭМС. Даются предложения по совершенствованию ЭМС требований по ЭМС и методик проведения испытаний.
18,8,Экспериментальное определение параметров импульсного магнитного поля,"Импульсные магнитные поля (ИМП способны вызвать сбои в работе цифровой техники. Для оценки электромагнитной обстановки на судах, выявление источников магнитного поля, контроля создаваемого при испытаниях ИМП необходимы средства измерения параметров ИМП. Дается обзор методов и средств измерения ИМП во временной области. Предлагаются решения для измерения микросекундных и наносекундным ИМП. Приводятся результаты калибровки средств измерения и примеры измерений."
19,8,Энергетические установки кораблей и судов с электродвижением,""
20,9,Выбор параметров зубчатого зацепления в технологическом устройстве для формирования волнистого профиля проволоки,"Рассматривается процесс получения проволоки волнообразного профиля путём прокатывания через зубчатую пару эвольвентного профиля со скруглёнными кромками вершин зубьев. Показано, что проволока в процессе формирования подвергается растяжению. Получено условие минимального растяжения. Получены зависимости для моделирования процесса формирования проволоки. Определены максимально достижимые амплитуда волны профиля и относительный диаметр проволоки. Получены расчётные соотношения для проектирования формирующих зубчатых колёс по заданным параметрам волнообразного профиля проволоки и заданному диаметру проволоки. Обосновано применение зубчатых колёс с эвольвентным профилем зубьев для формирования волнообразного профиля проволоки."
21,10,Радиозащитные материалы для снижения уровня электромагнитных излучений в окружающей среде,Радиозащитные материалы для снижения уровня электромагнитных излучений в окружающей среде
22,10,Обеспечение экологической эффективности и пожарной безопасности топливно-каталитических систем транспортных двигателей,"В статье приводятся результаты моделирования физико-химических процессов, конструирования и технического диагностирования аварийных режимов работы каталитических нейтрализаторов транспортных двигателей."
